run,hop,current_x,event,event_time,raw_delta_x,used_delta_x,next_x
0,209,29257.2,hop_summary,,71.6139,71.6139,29328.8
0,210,29328.8,coalescence,19075.4,,,
0,210,29328.8,hop_summary,,103.597,103.597,29432.4
0,211,29432.4,coalescence_fallback,35871.1,,,
0,211,29432.4,hop_summary,,646.692,646.692,30079.1
0,212,30079.1,coalescence_fallback,36640.4,,,
0,212,30079.1,hop_summary,,222.579,222.579,30301.7
0,213,30301.7,coalescence_fallback,32757,,,
0,213,30301.7,hop_summary,,44.5635,44.5635,30346.3
0,214,30346.3,coalescence_fallback,34469.9,,,
0,214,30346.3,hop_summary,,36.7502,36.7502,30383
0,215,30383,coalescence,21557.1,,,
0,215,30383,hop_summary,,206.93,206.93,30590
0,216,30590,coalescence_fallback,29391.5,,,
0,216,30590,hop_summary,,84.5493,84.5493,30674.5
0,217,30674.5,coalescence_fallback,41917.2,,,
0,217,30674.5,hop_summary,,397.963,397.963,31072.5
0,218,31072.5,coalescence_fallback,52781.9,,,
0,218,31072.5,hop_summary,,49.4994,49.4994,31122
0,219,31122,coalescence_fallback,55452,,,
0,219,31122,hop_summary,,55.8794,55.8794,31177.8
0,220,31177.8,coalescence_fallback,61196.1,,,
0,220,31177.8,hop_summary,,27.6272,27.6272,31205.5
0,221,31205.5,coalescence_fallback,71610.4,,,
0,221,31205.5,hop_summary,,274.064,274.064,31479.5
0,222,31479.5,coalescence,39168.8,,,
0,222,31479.5,hop_summary,,202.246,202.246,31681.8
0,223,31681.8,coalescence,20291.9,,,
0,223,31681.8,hop_summary,,171.761,171.761,31853.5
0,224,31853.5,coalescence_fallback,36556.6,,,
0,224,31853.5,hop_summary,,286.785,286.785,32140.3
0,225,32140.3,coalescence_fallback,34696.9,,,
0,225,32140.3,hop_summary,,20.2394,20.2394,32160.6
0,226,32160.6,coalescence_fallback,39946.8,,,
0,226,32160.6,hop_summary,,137.622,137.622,32298.2
0,227,32298.2,coalescence,19060.1,,,
0,227,32298.2,hop_summary,,232.183,232.183,32530.4
0,228,32530.4,coalescence_fallback,26280.5,,,
0,228,32530.4,hop_summary,,14.2072,14.2072,32544.6
0,229,32544.6,coalescence_fallback,49680.9,,,
0,229,32544.6,hop_summary,,242.197,242.197,32786.8
0,230,32786.8,coalescence_fallback,46770.6,,,
0,230,32786.8,hop_summary,,40.4921,40.4921,32827.3
0,231,32827.3,coalescence_fallback,27123.2,,,
0,231,32827.3,hop_summary,,235.131,235.131,33062.4
0,232,33062.4,coalescence,18097.3,,,
0,232,33062.4,hop_summary,,489.889,489.889,33552.3
0,233,33552.3,coalescence_fallback,31068.6,,,
0,233,33552.3,hop_summary,,240.901,240.901,33793.2
0,234,33793.2,coalescence_fallback,24426.1,,,
0,234,33793.2,hop_summary,,176.089,176.089,33969.3
0,235,33969.3,coalescence_fallback,34672.4,,,
0,235,33969.3,hop_summary,,482.338,482.338,34451.6
